question_id,correct_answer,numerical_answer,answer_status,answer_confidence,answer_source,answer_source_url,verification_method
JM_2026_S2_0402_SHIFT1_MAT_Q001,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q002,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q003,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q004,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q005,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q006,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q007,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q008,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q009,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q010,A,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q011,B,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q012,A,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q013,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q014,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q015,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q016,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q017,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q018,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q019,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q020,A,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q021,4,4.0,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q022,91,91.0,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q023,81,81.0,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q024,8,8.0,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_MAT_Q025,192,192.0,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q026,B,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q027,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q028,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q029,B,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q030,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q031,A,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q032,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q033,B,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q034,B,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q035,B,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q036,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q037,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q038,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q039,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q040,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q041,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q042,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q043,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q044,A,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q045,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q046,36,36.0,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q047,120,120.0,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q048,171,171.0,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q049,3,3.0,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_PHY_Q050,387,387.0,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q051,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q052,B,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q053,B,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q054,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q055,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q056,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q057,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q058,A,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q059,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q060,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q061,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q062,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q063,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q064,D,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q065,B,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
JM_2026_S2_0402_SHIFT1_CHE_Q066,C,,OFFICIAL_VERIFIED,HIGH,NTA Final Answer Key,https://jeemain.nta.nic.in/,OFFICIAL_FINAL_KEY
